Column1,Column2,Column3
Aruba,ABW,Aruba
Afghanistan,AFG,Afghanistan
Angola,AGO,Angola
Anguilla,AIA,Anguilla
Åland Islands,ALA,Åland Islands
Albania,ALB,Albania
Andorra,AND,Andorra
United Arab Emirates (the),ARE,United Arab Emirates
Argentina,ARG,Argentina
Armenia,ARM,Armenia
American Samoa,ASM,American Samoa
Antarctica,ATA,Antarctica
French Southern Territories (the),ATF,French Southern Territories
Antigua and Barbuda,ATG,Antigua and Barbuda
Australia,AUS,Australia
Austria,AUT,Austria
Azerbaijan,AZE,Azerbaijan
Burundi,BDI,Burundi
Belgium,BEL,Belgium
Benin,BEN,Benin
"Bonaire, Sint Eustatius and Saba",BES,"Bonaire, Sint Eustatius and Saba"
Burkina Faso,BFA,Burkina Faso
Bangladesh,BGD,Bangladesh
Bulgaria,BGR,Bulgaria
Bahrain,BHR,Bahrain
Bahamas (the),BHS,Bahamas
Bosnia and Herzegovina,BIH,Bosnia and Herzegovina
Saint Barthélemy,BLM,Saint Barthélemy
Belarus,BLR,Belarus
Belize,BLZ,Belize
Bermuda,BMU,Bermuda
Bolivia (Plurinational State of),BOL,Bolivia
Brazil,BRA,Brazil
Barbados,BRB,Barbados
Brunei Darussalam,BRN,Brunei Darussalam
Bhutan,BTN,Bhutan
Bouvet Island,BVT,Bouvet Island
Botswana,BWA,Botswana
Central African Republic (the),CAF,Central African Republic
Canada,CAN,Canada
Cocos (Keeling) Islands (the),CCK,Cocos (Keeling) Islands
Switzerland,CHE,Switzerland
Chile,CHL,Chile
China,CHN,China
Côte d'Ivoire,CIV,Cote d'Ivoire
Cameroon,CMR,Cameroon
Congo (the Democratic Republic of the),COD,Democratic Republic of Congo
Congo (the),COG,Congo
Cook Islands (the),COK,Cook Islands
Colombia,COL,Colombia
Comoros (the),COM,Comoros
Cabo Verde,CPV,Cabo Verde
Costa Rica,CRI,Costa Rica
Cuba,CUB,Cuba
Curaçao,CUW,Curaçao
Christmas Island,CXR,Christmas Island
Cayman Islands (the),CYM,Cayman Islands
Cyprus,CYP,Cyprus
Czechia,CZE,Czechia
Germany,DEU,Germany
Djibouti,DJI,Djibouti
Dominica,DMA,Dominica
Denmark,DNK,Denmark
Dominican Republic (the),DOM,Dominican Republic
Algeria,DZA,Algeria
Ecuador,ECU,Ecuador
Egypt,EGY,Egypt
Eritrea,ERI,Eritrea
Western Sahara,ESH,Western Sahara
Spain,ESP,Spain
Estonia,EST,Estonia
Ethiopia,ETH,Ethiopia
Finland,FIN,Finland
Fiji,FJI,Fiji
Falkland Islands (the) [Malvinas],FLK,Falkland Islands
France,FRA,France
Faroe Islands (the),FRO,Faroe Islands
Micronesia (Federated States of),FSM,Micronesia
Gabon,GAB,Gabon
United Kingdom of Great Britain and Northern Ireland (the),GBR,United Kingdom of Great Britain and Northern Ireland
Georgia,GEO,Georgia
Guernsey,GGY,Guernsey
Ghana,GHA,Ghana
Gibraltar,GIB,Gibraltar
Guinea,GIN,Guinea
Guadeloupe,GLP,Guadeloupe
Gambia (the),GMB,Gambia
Guinea-Bissau,GNB,Guinea-Bissau
Equatorial Guinea,GNQ,Equatorial Guinea
Greece,GRC,Greece
Grenada,GRD,Grenada
Greenland,GRL,Greenland
Guatemala,GTM,Guatemala
French Guiana,GUF,French Guiana
Guam,GUM,Guam
Guyana,GUY,Guyana
Hong Kong,HKG,Hong Kong
Heard Island and McDonald Islands,HMD,Heard Island and McDonald Islands
Honduras,HND,Honduras
Croatia,HRV,Croatia
Haiti,HTI,Haiti
Hungary,HUN,Hungary
Indonesia,IDN,Indonesia
Isle of Man,IMN,Isle of Man
India,IND,India
British Indian Ocean Territory (the),IOT,British Indian Ocean Territory
Ireland,IRL,Ireland
Iran (Islamic Republic of),IRN,Iran
Iraq,IRQ,Iraq
Iceland,ISL,Iceland
Israel,ISR,Israel
Italy,ITA,Italy
Jamaica,JAM,Jamaica
Jersey,JEY,Jersey
Jordan,JOR,Jordan
Japan,JPN,Japan
Kazakhstan,KAZ,Kazakhstan
Kenya,KEN,Kenya
Kyrgyzstan,KGZ,Kyrgyzstan
Cambodia,KHM,Cambodia
Kiribati,KIR,Kiribati
Saint Kitts and Nevis,KNA,Saint Kitts and Nevis
Korea (the Republic of),KOR,South Korea
Kuwait,KWT,Kuwait
Lao People's Democratic Republic (the),LAO,Laos
Lebanon,LBN,Lebanon
Liberia,LBR,Liberia
Libya,LBY,Libya
Saint Lucia,LCA,Saint Lucia
Liechtenstein,LIE,Liechtenstein
Sri Lanka,LKA,Sri Lanka
Lesotho,LSO,Lesotho
Lithuania,LTU,Lithuania
Luxembourg,LUX,Luxembourg
Latvia,LVA,Latvia
Macao,MAC,Macao
Saint Martin (French part),MAF,Saint Martin
Morocco,MAR,Morocco
Monaco,MCO,Monaco
Moldova (the Republic of),MDA,Moldova
Madagascar,MDG,Madagascar
Maldives,MDV,Maldives
Mexico,MEX,Mexico
Marshall Islands (the),MHL,Marshall Islands
Republic of North Macedonia,MKD,North Macedonia
Mali,MLI,Mali
Malta,MLT,Malta
Myanmar,MMR,Myanmar
Montenegro,MNE,Montenegro
Mongolia,MNG,Mongolia
Northern Mariana Islands (the),MNP,Northern Mariana Islands
Mozambique,MOZ,Mozambique
Mauritania,MRT,Mauritania
Montserrat,MSR,Montserrat
Martinique,MTQ,Martinique
Mauritius,MUS,Mauritius
Malawi,MWI,Malawi
Malaysia,MYS,Malaysia
Mayotte,MYT,Mayotte
Namibia,NAM,Namibia
New Caledonia,NCL,New Caledonia
Niger (the),NER,Niger
Norfolk Island,NFK,Norfolk Island
Nigeria,NGA,Nigeria
Nicaragua,NIC,Nicaragua
Niue,NIU,Niue
Netherlands (the),NLD,Netherlands
Norway,NOR,Norway
Nepal,NPL,Nepal
Nauru,NRU,Nauru
New Zealand,NZL,New Zealand
Oman,OMN,Oman
Pakistan,PAK,Pakistan
Panama,PAN,Panama
Pitcairn,PCN,Pitcairn
Peru,PER,Peru
Philippines (the),PHL,Philippines
Palau,PLW,Palau
Papua New Guinea,PNG,Papua New Guinea
Poland,POL,Poland
Puerto Rico,PRI,Puerto Rico
Korea (the Democratic People's Republic of),PRK,North Korea
Portugal,PRT,Portugal
Paraguay,PRY,Paraguay
"Palestine, State of",PSE,Palestine
French Polynesia,PYF,French Polynesia
Qatar,QAT,Qatar
Réunion,REU,Reunion
Romania,ROU,Romania
Russian Federation (the),RUS,Russian Federation
Rwanda,RWA,Rwanda
Saudi Arabia,SAU,Saudi Arabia
Sudan (the),SDN,Sudan
Senegal,SEN,Senegal
Singapore,SGP,Singapore
South Georgia and the South Sandwich Islands,SGS,South Georgia and the South Sandwich Islands
