survey,round,region,country,year,status,reports,"mics datasets",gis
"Viet Nam",MICS7,"East Asia and Pacific","Viet Nam",2027,"Survey design",,,
Armenia,MICS7,"Europe and Central Asia",Armenia,2026,"Survey design",,,
Tuvalu,MICS7,"East Asia and Pacific",Tuvalu,2026,"Survey design",,,
Fiji,MICS7,"East Asia and Pacific",Fiji,2026,"Survey design",,,
Kiribati,MICS7,"East Asia and Pacific",Kiribati,2026,"Survey design",,,
Guinea-Bissau,MICS7,"West and Central Africa",Guinea-Bissau,2026,"Survey design",,,
Sudan,MICS7,"Middle East and North Africa",Sudan,2025,"On hold",,,
Albania,MICS7,"Europe and Central Asia",Albania,2025,"Survey design",,,
Nigeria,MICS7,"West and Central Africa",Nigeria,2025-2026,"Survey design",,,
Bangladesh,MICS7,"South Asia",Bangladesh,2025,"Data collection",,,
Mauritania,MICS7,"West and Central Africa",Mauritania,2025-2026,"Survey design",,,
Nepal,MICS7,"South Asia",Nepal,2025,"Data collection",,,
Cuba,MICS7,"Latin America and Caribbean",Cuba,2025,"Survey design",,,
"Pakistan (Sindh)",MICS7,"South Asia",Pakistan,2025,"Survey design",,,
Morocco,MICS7,"Middle East and North Africa",Morocco,2025,"Survey design",,,
Panama,MICS7,"Latin America and Caribbean",Panama,2025,"Survey design",,,
"Sierra Leone",MICS7,"West and Central Africa","Sierra Leone",2025,"Survey design",,,
Zimbabwe,MICS7,"Eastern and Southern Africa",Zimbabwe,2025,"Survey design",,,
Guatemala,MICS7,"Latin America and Caribbean",Guatemala,2025,"Survey design",,,
Montenegro,MICS7,"Europe and Central Asia",Montenegro,2025,"Survey design",,,
"Federated States of Micronesia",MICS7,"East Asia and Pacific","Federated States of Micronesia",2025,"Data collection",,,
Ghana,MICS7,"West and Central Africa",Ghana,2025,"Survey design",,,
"Marshall Islands, Republic of",MICS7,"East Asia and Pacific","Marshall Islands",2025,"Survey design",,,
Serbia,MICS7,"Europe and Central Asia",Serbia,2025,"Survey design",,,
"Kosovo under UNSC res. 1244",MICS7,"Europe and Central Asia","Kosovo (UNSC 1244)",2025,"Survey design",,,
Ukraine,MICS7,"Europe and Central Asia",Ukraine,2025,"Survey design",,,
Samoa,MICS7,"East Asia and Pacific",Samoa,2025,"Survey design",,,
Gambia,MICS7,"West and Central Africa",Gambia,2025,"Survey design",,,
"Saint Lucia",MICS7,"Latin America and Caribbean","Saint Lucia",2025,"Survey design",,,
"Saudi Arabia",MICS7,"Middle East and North Africa","Saudi Arabia",2025,"Survey design",,,
Iraq,MICS7,"Middle East and North Africa",Iraq,2025,"Survey design",,,
"Dominican Republic",MICS7,"Latin America and Caribbean","Dominican Republic",2025,"Survey design",,,
Somalia,MICS7,"Eastern and Southern Africa",Somalia,2025,"Survey design",,,
Cameroon,MICS7,"West and Central Africa",Cameroon,2025,"Survey design",,,
"State of Palestine",MICS7,"Middle East and North Africa","State of Palestine",2025,"On hold",,,
"South Sudan, Republic of",MICS7,"Eastern and Southern Africa","South Sudan",2025,"Survey design",,,
"Pakistan (Gilgit-Baltistan)",MICS7,"South Asia",Pakistan,2024-2025,"Data processing / analysis","Not yet available","Not yet available",
"Pakistan (Punjab)",MICS7,"South Asia",Pakistan,2024,"Data processing / analysis","Key findings are available","Not yet available",
Kazakhstan,MICS7,"Europe and Central Asia",Kazakhstan,2024,"Data processing / analysis","Not yet available","Not yet available",
