osm_id,population,source,place,is_in,name,name_ps,longitude,latitude,geom_type
9407,N/A,N/A,N/A,N/A,Andorra,اندورا,1.5973329,42.5423797,relation
14296,N/A,N/A,N/A,N/A,Slovensko,سلواکيا,19.6994497,48.672498,relation
16239,N/A,N/A,N/A,N/A,Österreich,اتريش,13.3457608,47.6964118,relation
17511,N/A,N/A,N/A,N/A,Deutschland - Österreich,N/A,11.6951078,48.0208648,relation
21335,N/A,N/A,N/A,N/A,Magyarország,هنګري,19.505798,47.1611925,relation
28699,3694608,N/A,N/A,N/A,საქართველო,ګرجستان,43.3105088,42.3207789,relation
36989,453,N/A,N/A,N/A,Civitas Vaticana - Città del Vaticano,واټيکان ښار,12.4520766,41.9037936,relation
49715,N/A,geoportal.gov.pl;PRG;Urząd Morski w Gdyni;Ustawa o obszarach morskich Rzeczypospolitej Polskiej i Administracji Morskiej;Act on maritime areas of the Republic of Poland and Maritime Administration;United Nations Convention on the Law of the Sea,N/A,N/A,Polska,پولنډ,19.107711,52.0190484,relation
49898,N/A,N/A,N/A,N/A,ព្រះរាជាណាចក្រ​កម្ពុជា,کمبودیا,104.982527,12.0507592,relation
49903,N/A,CIA World database II,N/A,N/A,ປະເທດລາວ,لاووس,103.8596618,18.2091734,relation
49915,N/A,N/A,N/A,N/A,Việt Nam,N/A,108.5005611,15.5423885,relation
50046,N/A,N/A,N/A,N/A,Danmark,ډېنمارک,11.6341948,56.2020482,relation
50371,N/A,generated from SRTM,N/A,N/A,မြန်မာ,ميانمار,96.6714989,19.0369595,relation
51239,N/A,N/A,N/A,N/A,Deutschland — Schweiz / Suisse / Svizerra,N/A,8.5698024,47.6704666,relation
51477,N/A,N/A,N/A,N/A,Deutschland,آلمان,10.4541231,51.1846362,relation
51684,10516707,N/A,N/A,N/A,Česko,چېک جمهوريت,15.4749142,49.8037544,relation
51701,N/A,N/A,N/A,N/A,Schweiz/Suisse/Svizzera/Svizra,سويس,8.2241027,46.8132061,relation
52411,N/A,N/A,N/A,N/A,België / Belgique / Belgien,بلجیم,4.3985053,50.5238815,relation
52822,N/A,N/A,N/A,N/A,Sverige,سويډن,17.3855922,62.0985346,relation
52939,N/A,N/A,N/A,N/A,Føroyar,N/A,-6.9721695,61.8663061,relation
53292,2876591,N/A,N/A,N/A,Shqipëria,البانیا,20.02921,41.1507394,relation
53293,N/A,N/A,N/A,N/A,Северна Македонија,د مقدونيې ولسمشريزه,21.7434767,41.6131912,relation
53296,N/A,N/A,N/A,N/A,Crna Gora / Црна Гора,مانتېنېګرو,19.3862528,42.6217463,relation
54224,N/A,N/A,N/A,N/A,Suomi / Finland,فېنلانډ,25.3349536,64.7732254,relation
54624,33600,N/A,N/A,N/A,San Marino,سان مارینو,12.459696,43.942837,relation
58974,4128047,N/A,N/A,N/A,Moldova,N/A,28.3900599,46.9796313,relation
59065,9491823,N/A,N/A,N/A,Беларусь,بېلاروس,27.9705561,53.7174674,relation
59470,N/A,N/A,N/A,N/A,Brasil,برازیل,-51.3060136,-14.2999238,relation
60189,146150789,N/A,N/A,N/A,Россия,روسیه,-74.7863859,61.62186,relation
60199,N/A,N/A,N/A,N/A,Україна,اوکراین,31.1824341,48.2821722,relation
62149,N/A,N/A,N/A,N/A,United Kingdom,بريتانيا,-5.9618026,55.3675,relation
62269,75049,landsat;Isle of Man Government aerial imagery (2001),N/A,N/A,Isle of Man,N/A,-4.5680673,54.1992144,relation
62273,5123536,N/A,N/A,N/A,Éire / Ireland,د آيرلېنډ جمهوريت,-8.3358076,53.429,relation
72594,N/A,N/A,N/A,N/A,Latvija,N/A,24.4212395,56.8801097,relation
72596,N/A,N/A,N/A,N/A,Lietuva,لېتوانيا,23.7456182,55.1736053,relation
79510,N/A,N/A,N/A,N/A,Eesti,اېسټونيا,24.7963122,58.7238331,relation
80500,26473055,N/A,N/A,N/A,Australia,آسټراليا,120.2361595,-32.205415,relation
82675,N/A,N/A,N/A,N/A,France - España,N/A,0.6918148,42.8559754,relation
87565,49991300,N/A,N/A,N/A,South Africa,سویلي افریقا,27.3117083,-34.6519318,relation
88210,N/A,N/A,N/A,N/A,Eswatini,سوازيلانډ,31.4628917,-26.5179105,relation
89489,N/A,N/A,N/A,N/A,France - Italy (section sud),N/A,7.1731241,44.8125036,relation
90124,N/A,N/A,N/A,N/A,France - Schweiz/Suisse/Svizzera/Svizra,N/A,6.7724751,46.7561346,relation
90333,N/A,N/A,N/A,N/A,France - Deutschland,N/A,7.3002828,48.5334222,relation
90340,N/A,N/A,N/A,N/A,France - Luxembourg / Luxemburg / Lëtzebuerg,N/A,6.0884895,49.4971199,relation
90341,N/A,N/A,N/A,N/A,France - Belgique / België / Belgien,N/A,4.1820348,50.292986,relation
90352,N/A,N/A,N/A,N/A,France - Monaco,N/A,7.4240994,43.7383386,relation
90689,19064409,N/A,N/A,N/A,România,رومانیا,25.1537106,45.9421426,relation
102666,N/A,N/A,N/A,N/A,Österreich - Schweiz,N/A,10.048203,46.9515376,relation
102877,N/A,N/A,N/A,N/A,Österreich — Liechtenstein,N/A,9.5832315,47.1656768,relation
108089,N/A,N/A,N/A,N/A,Ecuador,اېکوادور,-83.6998716,-1.5661675,relation
114686,129900000,Bing,N/A,N/A,México,N/A,-102.546227,23.5499482,relation
120027,N/A,N/A,N/A,N/A,Colombia,N/A,-74.4877364,5.9100745,relation
126410,N/A,N/A,N/A,N/A,France - Andorra,N/A,1.6144285,42.5793173,relation
148838,331449281,N/A,N/A,N/A,United States,د امریکا متحده آیالاتونه,40.0287143,28.4140588,relation
161033,N/A,N/A,N/A,N/A,Монгол улс ᠮᠤᠩᠭᠤᠯ ᠤᠯᠤᠰ,مغولستان,103.8333966,46.8648138,relation
167454,N/A,N/A,N/A,N/A,Chile,چېلي,-87.8774631,-37.1116916,relation
171496,N/A,N/A,N/A,N/A,Rwanda,راونډا,29.8803849,-1.9435863,relation
174737,85664944,N/A,N/A,N/A,Türkiye,تورکيه,35.1916472,39.0514487,relation
178009,N/A,N/A,N/A,N/A,Кыргызстан,قرغزستان,74.7472658,41.2198212,relation
184629,N/A,N/A,N/A,N/A,འབྲུགཡུལ་,بوتان,90.4357339,27.4744429,relation
184633,N/A,N/A,N/A,N/A,नेपाल,نيپال,84.1293035,28.3973515,relation
184640,172954319,N/A,N/A,N/A,বাংলাদেশ,بنګله دېش,90.3440555,23.5018976,relation
184818,N/A,N/A,N/A,N/A,الأردن,اردن,37.0921488,31.278418,relation
184840,17951639,N/A,N/A,N/A,سوريا,سوريه,38.9230161,34.8152198,relation
184843,N/A,N/A,N/A,N/A,لبنان,لېبنان,35.7537833,33.8735886,relation
186382,N/A,N/A,N/A,N/A,България,بلغاریا,25.6223434,42.7257955,relation
192307,N/A,N/A,N/A,N/A,Ελλάς,يونان,24.3982818,38.2338876,relation
192734,N/A,N/A,N/A,N/A,조선민주주의인민공화국,شمالي کوريا,127.5057554,40.2961472,relation
192756,N/A,N/A,N/A,N/A,Algérie ⵍⵣⵣⴰⵢⴻⵔ الجزائر,الجزاير,1.6642145,28.1321763,relation
192757,N/A,N/A,N/A,N/A,تونس,تونس,9.701047,33.9951331,relation
192758,N/A,N/A,N/A,N/A,ليبيا,لېبيا,17.3840719,26.4272902,relation
192763,N/A,N/A,N/A,N/A,موريتانيا,موریتاني,-11.0357152,21.0179665,relation
192774,N/A,N/A,N/A,N/A,Gambia,ګامبيا,-15.4100779,13.4405735,relation
192775,N/A,N/A,N/A,N/A,Sénégal,سېنېګال,-14.5479094,14.4661188,relation
192776,N/A,N/A,N/A,N/A,Guiné-Bissau,N/A,-15.2661893,11.6688299,relation
192777,N/A,N/A,N/A,N/A,Sierra Leone,سېرالیون,-11.8860109,8.3774865,relation
192778,N/A,N/A,N/A,N/A,Guinée,N/A,-11.6029865,9.9331173,relation
192779,N/A,N/A,N/A,N/A,Côte d’Ivoire,عاج ساحل,-5.5481755,7.4511587,relation
192780,N/A,Open Cities Monrovia - HOT Field Survey,N/A,N/A,Liberia,لايبېريا,-9.4876997,6.3537579,relation
192781,30792608,N/A,N/A,N/A,Ghana,ګانا,-0.9937459,7.8570543,relation
192782,N/A,N/A,N/A,N/A,Togo,N/A,0.8323756,8.5330286,relation
192783,N/A,N/A,N/A,N/A,Burkina Faso,بورکینا فاسو,-1.5521177,12.2472381,relation
192784,N/A,N/A,N/A,N/A,Bénin,بېنين,2.3109062,9.2245362,relation
192785,14517176,N/A,N/A,N/A,Mali,مالي,-3.9864504,17.5744475,relation
192786,N/A,N/A,N/A,N/A,Niger,نایجېر,8.0828162,17.6053925,relation
192787,N/A,N/A,N/A,N/A,Nigeria,نايجېريا,8.677473,8.9773704,relation
192789,N/A,N/A,N/A,N/A,السودان,سوډان,30.4360078,15.455098,relation
192790,N/A,N/A,N/A,N/A,Ködörösêse tî Bêafrîka / République centrafricaine,د منځنی افريقا ولسمشريزه,20.9406978,6.612159,relation
192791,N/A,N/A,N/A,N/A,Guinea Ecuatorial,اېکواټوريال ګوينا,8.414328,1.1578902,relation
192793,N/A,N/A,N/A,N/A,Gabon,ګابن,11.5146223,-0.9038097,relation
192794,N/A,N/A,N/A,N/A,Congo,د کانګو جمهوريت,14.8436135,-0.7180165,relation
192795,N/A,N/A,N/A,N/A,République démocratique du Congo,N/A,21.6723749,-4.0335162,relation
192796,N/A,N/A,N/A,N/A,Uganda,N/A,32.2868705,1.3758793,relation
192798,N/A,N/A,N/A,N/A,Kenya,کېنيا,37.9082195,-0.1397602,relation
192799,N/A,N/A,N/A,N/A,Soomaaliya الصومال,سومالیا,46.3034748,5.1928576,relation
192800,126527060,N/A,N/A,N/A,ኢትዮጵያ إثيوبيا,اېتوپیا,40.4899817,9.1458931,relation
192801,N/A,N/A,N/A,N/A,Djibouti جيبوتي,جېبوتي,42.7146093,11.8536314,relation
192830,N/A,N/A,N/A,N/A,Cameroun,کامرون,12.2866594,7.3675637,relation
195266,N/A,N/A,N/A,N/A,Namibia,نېمبیا,18.3948838,-22.9664803,relation
195267,N/A,N/A,N/A,N/A,Angola,آنګولا,17.7743076,-11.1925908,relation
195269,N/A,N/A,N/A,N/A,Burundi,برونډي,29.9252811,-3.3894975,relation
195270,59441988,maxar,N/A,N/A,Tanzania,N/A,34.9926922,-6.3733676,relation
195271,N/A,N/A,N/A,N/A,Zambia,زېمبيا,27.8539555,-13.1755742,relation
195272,N/A,N/A,N/A,N/A,Zimbabwe,زېمبابوې,29.1528251,-19.0169065,relation
195273,N/A,N/A,N/A,N/A,Moçambique,موزمبيق,35.6333786,-18.6230788,relation
195290,N/A,N/A,N/A,N/A,Malawi,مالاوي,34.295216,-13.248952,relation
196240,35727181,maplibrary.org,N/A,N/A,Oʻzbekiston,اوزبکستان,64.606663,41.3861394,relation
214626,9506000,N/A,N/A,N/A,Тоҷикистон,تاجيکستان,71.2436169,38.8581044,relation
214665,20223218,N/A,N/A,N/A,Қазақстан,قزاقستان,66.9044258,48.0054301,relation
214885,3871833,N/A,N/A,N/A,Hrvatska,کروواسيا,16.3288764,44.3658141,relation
218657,N/A,N/A,N/A,N/A,Slovenija,سلووانیا,14.9861415,46.1490529,relation
223026,N/A,N/A,N/A,N/A,Türkmenistan,ترکمنستان,59.4773625,38.9643808,relation
252645,N/A,"wikipedia, 2019",N/A,N/A,Bolivia,بولېویا,-63.5490037,-16.283609,relation
270009,N/A,N/A,N/A,N/A,Guernsey,N/A,-2.5355896,49.5800876,relation
270056,1425671352,N/A,country,N/A,中国,چين,104.1375955,31.1129269,relation
272644,N/A,N/A,N/A,N/A,Venezuela,N/A,-66.5618398,8.2816198,relation
285454,N/A,N/A,N/A,N/A,British Virgin Islands,N/A,-64.5078453,18.5279556,relation
286393,47327407,N/A,N/A,N/A,Argentina,ارجنټاین,-63.5989943,-38.4867139,relation
287072,3286314,N/A,N/A,N/A,Uruguay,یوروګوای,-55.7851781,-32.9339395,relation
287077,7012433,N/A,N/A,N/A,Paraguay / Paraguái,N/A,-58.4493342,-23.4470203,relation
287082,N/A,N/A,N/A,N/A,Suriname,سورينام,-55.9656617,4.0236822,relation
287083,N/A,N/A,N/A,N/A,Guyana,ګويانا,-58.9258496,4.887443,relation
287666,6393824,N/A,N/A,N/A,Nicaragua,نیکاراګوا,-85.1862709,12.8988362,relation
